119     COFF   1    30.0    10.0      .0   270.0   
120     MISC   1    25.0     8.0      .0   800.0
121     PAVE   1    15.0      .0      .0      .0
122     ORCD   1    22.0     6.0      .0  1200.0
123     PAST   1    25.0     8.0      .0   100.0
124     AGRL   1    25.0     8.0      .0   120.0
125     AGRR   1    25.0     8.0      .0   120.0
126     RNGB   1    30.0    10.0      .0   120.0
127     FRSD   1    30.0    10.0      .0  1000.0
128     FRSE   1    20.0     2.0      .0  1000.0
129     WETL   1    30.0    10.0      .0  1000.0
130     WETN   1    25.0    10.0      .0   200.0
131     SWRN   1    25.0     8.0      .0   120.0
132     HAY    1    27.5    10.0      .0   120.0
133     FRST   1    25.0     5.0      .0  1200.0
134     WETF   1    25.0     5.0      .0  1000.0
135     AGRC   2    15.0      .0      .0   100.0
136     BLUG   1    25.0    12.0      .0   100.0
137     APRT   1    22.0     6.0      .0  1400.0
138     APTR   1    22.0     6.0      .0  1400.0
139     CHRY   1    22.0     6.0      .0  1100.0
140     NECT   1    22.0     6.0      .0  1400.0
141     PECH   1    22.0     6.0      .0  1400.0
142     PEAR   1    22.0     6.0      .0  1400.0
143     PLUM   1    22.0     6.0      .0  1400.0   
144     NETS   1    20.0     2.0      .0   120.0
145     NESS   1    20.0     2.0      .0   120.0
146     SQSH   2    32.0    16.0      .0    55.0
147     ZUCK   2    32.0    16.0      .0    55.0
148     TOMT   1    27.0    10.0      .0    90.0
149     TRIT   2    15.0      .0      .0   120.0
150     RADI   1    24.0     7.0      .0    30.0
151     BLBR   1    32.0     7.0      .0   450.0
152     PINE   1    20.0     2.0      .0  1000.0
168     BANA   2    30.0    10.0      .0   375.0 
199     PLAN   2    30.0    10.0      .0   375.0
212     FRSG   1    25.0     8.0      .0  1000.0
300     ROAD   1    27.5    12.0      .0   100.0
367     MIXD   1    27.5    12.0      .0   100.0
     
                                      
